number,ground,lat,long,alt,pitch,roll,yaw,head,pixelx,pixely
0,0,37.2191148,127.1842641,197.664,0,0,0,0,0,0
936,7,37.21888217,127.1841318,207.590332,-1,0,0,324.56007,2541,2518
937,7,37.21889352,127.1841671,207.6516418,-6,0,5.7000003,311.17061,1947,2032
938,7,37.21892953,127.1841396,207.6465302,-6,0,5.4,303.39813,1972,2345
939,7,37.2189159,127.1842002,206.2310791,-1,0,3.4,294.69086,1930,2036
940,7,37.21884896,127.1841293,206.3011475,-1,0,1.9,332.49503,2326,2044
941,8,37.21874949,127.1839801,206.1220703,-1,0,-3.1000001,321.81018,2751,1962
942,8,37.21880147,127.1839326,207.6309052,-6,0,0.1,319.66962,2553,2308
943,8,37.21876485,127.1840214,207.740097,-4,0,3.8,310.32646,2240,2073
944,8,37.21880725,127.1840584,207.5773621,-4,0,-0.3,287.95721,2219,2110
945,8,37.2187058,127.183934,207.5823669,-4,0,-1.6,341.83653,2615,2110
946,13,37.2186949,127.1838984,207.2827911,-8,0,-3.8,329.07637,2900,2106
947,13,37.21874101,127.1838843,207.0713654,-12,0,-1.6,321.91966,2595,2118
948,13,37.21870263,127.1838974,204.2649689,-3,0,-6.5,325.68486,2797,1702
949,13,37.21873978,127.1838341,204.1937561,-4,0,-3.6000001,339.24046,2826,1599
950,13,37.21870739,127.1839076,204.4181824,-1,0,-0.6,324.42133,2533,1966
951,12,37.21869121,127.1838401,204.1655426,0,0,-2.1000001,326.36499,2731,1603
952,12,37.21873469,127.1838147,205.5253906,-5,0,1.3000001,315.57227,2504,1760
953,12,37.21870019,127.1838776,205.5527802,-3,0,-0.90000004,311.39174,2339,1867
954,12,37.2186691,127.1838222,205.5870667,-1,0,-3.8,335.35138,2751,2019
955,12,37.21866349,127.1838257,202.1306305,0,0,-4,334.65538,2718,1121
956,14,37.21866098,127.1838188,202.0830383,-2,0,1.5,319.26927,2529,1953
957,14,37.21870476,127.1838552,202.1016083,0,0,-0.5,296.74904,2611,2151
958,14,37.21872925,127.1838312,202.197113,0,0,-8.2,287.62814,2710,2221
959,14,37.21866445,127.1837424,204.4322357,-2,0,-3.9,341.93997,2830,2901
960,14,37.21865552,127.1837466,202.7086487,-4,0,-4.6,342.11179,2809,2011
963,17,37.2191876,127.1837741,207.2085266,-4,0,1,137.6984,2611,2040
964,17,37.21917079,127.1837504,207.1788635,-4,0,-2.6000001,128.499496,2537,2032
965,17,37.2192429,127.1837971,206.0986633,-1,0,-4.8,157.10374,2842,1908
966,17,37.21920744,127.1838094,208.7230377,-7,0,-3.2,152.723385,2747,2196
967,17,37.21922454,127.1837034,208.6887207,-7,0,-0.90000004,134.458088,2615,1920
968,18,37.21918148,127.1836726,206.0099792,-7,0,3.3,133.72571,2182,2180
969,18,37.2191517,127.1837059,205.3734283,-8,0,2.1000001,130.474026,2492,2118
970,18,37.21912407,127.1836794,205.3448029,-8,0,-3.2,117.16287,2450,2081
971,18,37.2191751,127.1837485,204.6488037,-6,0,-2.9,146.445343,2739,1990
972,18,37.21916234,127.1837548,204.591568,-6,0,-3.9,146.76778,2640,2036
973,19,37.21912751,127.1836694,208.6341553,-6,0,4,153.36778,2170,1871
974,19,37.21911472,127.1835932,208.7426605,-6,0,0.2,132.976612,2426,1801
975,19,37.21917424,127.183608,208.7987823,-3,0,-6.8,144.032673,2834,1966
976,19,37.2191523,127.1836906,208.8736267,-5,0,-5.3,162.0941,2760,1908
977,19,37.21917881,127.1836647,208.7195892,-5,0,-0.8,157.58991,2595,1838
978,22,37.21914352,127.1836024,205.9243317,-9,0,2.3,152.29236,2120,2015
979,22,37.21909349,127.1836402,205.3220062,-8,0,0.6,155.39755,2603,2176
980,22,37.21905368,127.1835803,205.1869965,-8,0,-0.2,126.966988,2347,2151
981,22,37.21917415,127.1836806,205.3529358,-5,0,-1,174.04372,2694,2126
982,22,37.21913629,127.1836738,204.4338989,-5,0,-1.4,168.933136,2529,2003
983,23,37.21906161,127.1835601,207.1906586,-3,0,3,143.751846,2079,2159
984,23,37.21908195,127.1835165,207.3023224,-3,0,3.6000001,140.127514,2228,2114
985,23,37.21902756,127.1834716,207.0978088,-3,0,-1.5,119.01182,2294,2126
986,23,37.21911926,127.1835662,207.1454926,-3,0,-3.6000001,155.29251,2619,2056
987,23,37.21914998,127.1836226,203.3180847,-7,0,-2.5,171.01391,2652,927
