number,ground,lat,long,alt,pitch,roll,yaw,head,pixelx,pixely
0,0,37.21903689,127.1843449,197.799,0,0,0,0,0,0
140,7,37.21889002,127.1841465,206.2025299,0,0,-0.6,-41.2,2770,2384
141,7,37.21891733,127.1841192,205.1194153,0,0,0.3,-41.3,2841,2044
142,7,37.21894211,127.1841565,205.0397644,0,0,-0.3,-55.6,2136,2038
143,7,37.21889124,127.1841045,205.0753326,0,0,0.4,-23.1,2406,1983
144,8,37.21876501,127.1839862,204.742569,-1.5,0,1.8000001,-41.7,2416,1847
145,8,37.21879106,127.1839603,206.1299133,-1.5,0,1.8000001,-42,2443,2287
146,8,37.21877935,127.1839426,206.2714996,-1.5,0,6.4,-41.4,2627,2312
147,8,37.21880794,127.1839107,205.5709381,-1.5,0,7.3,-41.8,3023,2133
148,8,37.218776,127.1839422,204.2978363,3,0,6.8,-41.6,2621,1967
149,13,37.21872113,127.1838918,203.2483063,3,0,7.2000003,-41.7,2531,2174
150,13,37.21873482,127.1838806,203.1896515,3,0,6.5,-41.3,2592,2184
151,13,37.21875728,127.1839152,203.2518311,1.7,0,2.3,-52.4,2568,2121
152,13,37.21875509,127.1838625,203.4119568,1.7,0,2.9,-36.9,2514,2169
153,13,37.21873704,127.1838727,203.3089752,1.7,0,2.3,-37.1,2640,2124
154,12,37.21870563,127.1838301,204.0538788,-0.2,0,2.4,-43.6,2984,1907
155,12,37.21871932,127.1838453,204.1558075,-0.2,0,1.8000001,-43.6,2343,1937
156,12,37.21870325,127.1838657,204.1742554,-0.2,0,-2.6000001,-43.5,2689,1938
157,12,37.21874116,127.1838457,204.0854492,-0.2,0,-3.2,-52.1,2800,1882
158,12,37.2187546,127.1838249,204.104126,-0.2,0,-2.2,-47.6,2441,1877
159,14,37.21867398,127.1838134,200.7274933,-0.2,0,-1.9,-39.9,2459,2015
160,14,37.21867214,127.1838134,200.795166,-0.2,0,-4.5,-39.7,2601,2053
161,14,37.21869234,127.1837869,200.7744751,-2.2,0,-4,-40.1,2569,1882
162,14,37.21870339,127.1838073,200.7703552,-1.1,0,-5,-51.1,2621,1995
163,14,37.21870463,127.1838041,200.8389435,-2.3,0,-8.7,-51.3,2833,1926
164,17,37.21923671,127.1837674,205.7390747,-2.3,0,-6.5,153.9,2289,2108
165,17,37.21920164,127.1837845,205.6963043,-2.3,0,-5.5,147.8,2610,2138
166,17,37.21918497,127.1837545,205.7515869,-2.8,0,-10,138.5,2610,2097
167,17,37.21916522,127.1837832,205.6894684,-2.8,0,-9.5,138.7,2574,2102
168,17,37.21916645,127.1837835,205.0583344,-2.1,0,-9.5,138.8,2555,1956
169,18,37.21915439,127.1837623,201.8928528,-2.1,0,-10.1,149,2665,2087
170,18,37.21919472,127.1837351,201.9766541,-2.1,0,-11,150.6,2711,2002
171,18,37.21917916,127.1837043,201.8347015,-2.1,0,-9.8,142.4,2575,1969
172,18,37.2191509,127.1837295,201.8934784,-2.1,0,-11.7,141.6,2481,1977
173,18,37.21916114,127.1837435,201.8898773,-2.1,0,-10.400001,147.9,2480,1985
174,19,37.21910842,127.1836413,206.5706024,-2.1,0,-11.1,145.5,2514,1877
175,19,37.21912591,127.1836772,206.4487915,-2.1,0,-10.400001,158.9,2482,1815
176,19,37.21913477,127.183673,206.43367,-2.1,0,-0.7,148.5,2796,1801
177,19,37.21912645,127.1836521,206.5190125,-2.1,0,-10.1,149,2807,1823
178,19,37.2191076,127.1836119,206.6419525,-2.1,0,-17.6,148.6,2487,1851
179,22,37.21909118,127.1835762,202.4699554,-2.1,0,-9.1,139.8,2745,2053
180,22,37.21910238,127.1835879,202.4486694,-2.1,0,-7.5,145.1,2689,2034
181,22,37.21910344,127.1835878,204.9317017,-8.9,0,-7.5,145.2,2693,1990
182,22,37.21906852,127.1836154,203.8171692,-8.9,0,-7.2000003,145.2,2568,1915
183,22,37.21905333,127.183587,203.7897339,-8.9,0,-7.5,132.6,2687,1889
184,23,37.2190294,127.1835692,206.7235107,-8.9,0,-7.7000003,143.5,2446,1816
185,23,37.21903189,127.1835769,206.7862396,-8.9,0,-7.4,143.6,2678,1853
186,23,37.21905698,127.1834995,207.3917999,-8.9,0,-8.1,134.8,2630,1796
187,23,37.21911006,127.1835711,207.3086548,-6.7,0,-7.6,158,2637,1903
188,23,37.21906151,127.1835916,207.4157562,-6.7,0,-8,158.1,2491,2144
