number,ground,lat,long,alt,pitch,roll,yaw,head,pixelx,pixely
0,0,37.2191148,127.1842641,197.664,0,0,0,0,0,0
830,7,37.21888281,127.1841328,207.5912156,-1,0,0.1,-36.5,2582,2510
831,7,37.21889242,127.1841704,207.8204331,-6,0,4.7000003,-49.5,2030,2097
832,7,37.21892992,127.1841379,207.6385941,-6,0,4.3,-55.1,1958,2283
833,7,37.21892142,127.1842064,206.2959122,-1,0,5,-65.3,1867,2069
834,7,37.21884969,127.1841298,206.1774125,-1,0,1.3000001,-27.8,2404,2023
835,8,37.21875777,127.1839741,206.4536576,-1,0,-2.6000001,-39.8,2739,1996
836,8,37.21880081,127.1839317,207.724379,-6,0,-1.3000001,-40.3,2644,2369
837,8,37.21876519,127.184023,207.6037583,-4,0,2.2,-51.5,2351,2102
838,8,37.21881154,127.1840639,207.5895219,-4,0,-0.90000004,-69.3,2248,2147
839,8,37.21870682,127.1839341,207.7644486,-4,0,-1.7,-19.5,2611,2089
840,13,37.218694,127.1838991,207.2157273,-8,0,-5.5,-33.3,2949,2106
841,13,37.2187412,127.1838857,207.2505479,-12,0,-2.5,-40.3,2582,2135
842,13,37.21870191,127.183896,204.2302384,-3,0,-6.4,-32.5,2863,1644
843,13,37.21873949,127.1838338,204.2975449,-4,0,-1.9,-20.9,2867,1582
844,13,37.21870752,127.1839076,204.3751053,-1,0,-1.7,-36.6,2549,1879
845,12,37.21868792,127.1838403,204.2277665,0,0,-3.7,-35.9,2830,1657
846,12,37.21873505,127.1838167,205.4370713,-5,0,-0.1,-43.8,2471,1681
847,12,37.2187006,127.1838753,205.4897599,-3,0,-1.4,-46.9,2376,1830
848,12,37.21866988,127.1838212,205.5688767,-1,0,-1.8000001,-25.7,2702,2040
849,12,37.21866202,127.183825,202.2170548,0,0,-3.5,-24.7,2702,1207
850,14,37.21866127,127.1838181,202.0695634,-2,0,-0.2,-42.6,2529,2052
851,14,37.21870404,127.1838575,202.1480851,0,0,0.7,-63.2,2516,2275
852,14,37.21872872,127.1838348,202.4528641,0,0,-5.2000003,-70,2595,2378
853,14,37.21866519,127.1837443,204.3956132,-2,0,-2.9,-19.3,2722,2905
854,14,37.21865557,127.1837479,202.8296342,-4,0,-3.9,-18.6,2751,2052
857,17,37.21918674,127.1837771,207.0371842,-4,0,1.5,138,2529,2027
858,17,37.21916772,127.1837507,207.2129197,-4,0,-1,127.6,2508,2073
859,17,37.21924228,127.1838007,206.1568894,-1,0,-3.9,154.9,2875,1949
860,17,37.21920899,127.1837964,208.7066941,-7,0,-1.7,152.2,2673,2184
861,17,37.21922509,127.1837051,208.7631974,-7,0,-0.7,133.7,2578,1933
862,18,37.21917284,127.1836818,205.8487229,-7,0,3.9,132,2145,2180
863,18,37.21915023,127.1837037,205.452269,-8,0,2.2,129.8,2508,2139
864,18,37.21912339,127.1836796,205.3435807,-8,0,-4.8,120.4,2421,2081
865,18,37.21917782,127.1837468,204.541533,-6,0,-2.5,147.3,2690,2007
866,18,37.2191626,127.1837563,204.5906205,-6,0,-3.2,146.4,2685,2081
867,19,37.21913017,127.1836809,208.6154923,-6,0,3.2,152.9,2318,1875
868,19,37.21911977,127.1835955,208.758162,-6,0,0.3,130.6,2409,1867
869,19,37.21917221,127.1836143,208.680037,-3,0,-8.2,147.6,2871,2003
870,19,37.21915204,127.1836907,209.0774522,-5,0,-2.7,160.2,2776,2003
871,19,37.21917828,127.1836666,208.7872452,-5,0,-1.8000001,157.7,2669,1879
872,22,37.21913957,127.1836058,205.8226151,-9,0,1.7,152.9,2269,1990
873,22,37.21909623,127.1836438,205.3025803,-8,0,-0.2,154.7,2727,2176
874,22,37.21905365,127.1835808,205.2335343,-8,0,-1.3000001,130.1,2479,2168
875,22,37.21917437,127.1836807,205.346785,-5,0,-2.2,171.8,2776,2114
876,22,37.21913622,127.1836738,204.476027,-5,0,-0.8,168.7,2644,1986
877,23,37.21906067,127.1835607,207.0743851,-3,0,3.8,143.2,2096,2118
878,23,37.21908408,127.1835159,207.2324662,-3,0,3.1000001,138.7,2318,2085
879,23,37.21902749,127.1834694,207.0124802,-3,0,0.3,119.5,2248,2110
880,23,37.21912286,127.1835722,206.7928605,-3,0,-1.9,155.2,2624,2073
881,23,37.21915008,127.1836233,203.2873063,-7,0,-2.8,169.9,2698,907
