number,ground,lat,long,alt,pitch,roll,yaw,head,pixelx,pixely
0,0,37.2191148,127.1842641,197.664,0,0,0,0,0,0
936,7,37.21888291,127.1841328,206.5292511,-1,0,0,-38.3,2541,2518
937,7,37.21889352,127.1841694,206.5654144,-6,0,5.7000003,-48.9,1947,2032
938,7,37.21893082,127.1841401,206.5854187,-6,0,5.4,-56,1972,2345
939,7,37.21891768,127.1842013,205.1887665,-1,0,3.4,-63,1930,2036
940,7,37.21884964,127.1841308,205.2289886,-1,0,1.9,-27.4,2326,2044
941,8,37.21875044,127.1839809,205.0646515,-1,0,-3.1000001,-39,2751,1962
942,8,37.21880259,127.1839337,206.5466156,-6,0,0.1,-41.4,2553,2308
943,8,37.21876592,127.1840226,206.6667938,-4,0,3.8,-52.7,2240,2073
944,8,37.21880988,127.1840596,206.503891,-4,0,-0.3,-70,2219,2110
945,8,37.21870647,127.1839358,206.5296631,-4,0,-1.6,-18.9,2615,2110
946,13,37.21869578,127.1838998,206.2324219,-8,0,-3.8,-33.2,2900,2106
947,13,37.21874229,127.1838852,206.0723419,-12,0,-1.6,-40.2,2595,2118
948,13,37.21870238,127.1839013,203.1442871,-3,0,-6.5,-33.3,2797,1702
949,13,37.21874076,127.1838355,203.0825348,-4,0,-3.6000001,-19,2826,1599
950,13,37.21870851,127.183909,203.3356781,-1,0,-0.6,-36.7,2533,1966
951,12,37.21869083,127.1838419,203.0427704,0,0,-2.1000001,-36.7,2731,1603
952,12,37.218736,127.1838155,204.453476,-5,0,1.3000001,-44,2504,1760
953,12,37.21870144,127.1838783,204.5248413,-3,0,-0.90000004,-47.1,2339,1867
954,12,37.21866975,127.1838233,204.5596771,-1,0,-3.8,-25.8,2751,2019
955,12,37.21866425,127.1838273,201.0770416,0,0,-4,-25.5,2718,1121
956,14,37.21866211,127.18382,201.0113678,-2,0,1.5,-43.3,2529,1953
957,14,37.2187049,127.183857,201.0447083,0,0,-0.5,-63.6,2611,2151
958,14,37.21873048,127.1838314,201.2011414,0,0,-8.2,-69.4,2710,2221
959,14,37.21866489,127.1837439,203.3250427,-2,0,-3.9,-18.6,2830,2901
960,14,37.21865622,127.1837482,201.6530762,-4,0,-4.6,-18.5,2809,2011
963,17,37.21918701,127.1837736,206.0670013,-4,0,1,137.6,2611,2040
964,17,37.21916905,127.1837494,206.1727142,-4,0,-2.6000001,127,2537,2032
965,17,37.21924211,127.1837957,205.0339966,-1,0,-4.8,154.9,2842,1908
966,17,37.21920644,127.183808,207.6643677,-7,0,-3.2,151.9,2747,2196
967,17,37.21922346,127.1837024,207.5955658,-7,0,-0.90000004,133.5,2615,1920
968,18,37.21918044,127.1836713,204.9329834,-7,0,3.3,131.8,2182,2180
969,18,37.2191504,127.183705,204.310257,-8,0,2.1000001,128.9,2492,2118
970,18,37.21912281,127.1836788,204.30867,-8,0,-3.2,119.3,2450,2081
971,18,37.21917473,127.1837466,203.54599,-6,0,-2.9,147,2739,1990
972,18,37.21916127,127.1837533,203.5140991,-6,0,-3.9,146.7,2640,2036
973,19,37.21912743,127.1836696,207.5510254,-6,0,4,153.5,2170,1871
974,19,37.21911313,127.1835921,207.7298737,-6,0,0.2,130.7,2426,1801
975,19,37.21917339,127.1836066,207.7189484,-3,0,-6.8,146.6,2834,1966
976,19,37.21915155,127.183689,207.80867,-5,0,-5.3,161.4,2760,1908
977,19,37.21917804,127.1836632,207.6585846,-5,0,-0.8,156.4,2595,1838
978,22,37.21914278,127.1836009,204.8727875,-9,0,2.3,153.1,2120,2015
979,22,37.21909411,127.1836412,204.2317963,-8,0,0.6,154,2603,2176
980,22,37.21905233,127.1835791,204.1220398,-8,0,-0.2,129.1,2347,2151
981,22,37.2191737,127.1836788,204.2984009,-5,0,-1,171.5,2694,2126
982,22,37.21913569,127.1836721,203.3872986,-5,0,-1.4,169.2,2529,2003
983,23,37.21906087,127.1835587,206.1239471,-3,0,3,145.1,2079,2159
984,23,37.21908094,127.1835155,206.2069244,-3,0,3.6000001,137.6,2228,2114
985,23,37.21902629,127.183471,206.0619659,-3,0,-1.5,119.8,2294,2126
986,23,37.21911844,127.1835646,206.0773468,-3,0,-3.6000001,155.3,2619,2056
987,23,37.21914953,127.1836208,202.2691345,-7,0,-2.5,170,2652,927
