number,easting,northing,height
1,338884.0221,4120712.535,196.9171
2,338883.9924,4120712.53,207.1878
3,338879.7283,4120718.179,207.1409
4,338878.0383,4120720.427,207.1249
5,338873.7398,4120726.046,207.1156
6,338873.7527,4120726.074,196.8885
7,338880.5205,4120709.741,204.645
8,338864.2557,4120697.41,204.7189
9,338843.7101,4120681.847,204.7602
10,338840.0835,4120679.181,207.1816
11,338840.0656,4120679.145,196.9325
12,338853.7741,4120689.438,203.9523
13,338858.2804,4120692.85,202.9539
14,338849.6258,4120686.287,200.424
15,338855.8663,4120703.428,213.849
16,338860.3314,4120706.816,213.8902
17,338867.1752,4120721.339,204.6449
18,338863.1967,4120718.32,201.1942
19,338855.2962,4120712.285,206.1975
20,338855.9318,4120712.799,213.8909
21,338851.4379,4120709.356,213.887
22,338851.2814,4120709.232,201.2023
23,338847.2845,4120706.179,204.6898
24,338839.3782,4120700.128,199.1755
25,338829.852,4120692.71,207.1846
26,338830.0097,4120692.815,196.934
